appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,languages,genre,ccu,tags
1840,Source Filmmaker,Valve,Valve,,36185,2732,0,"2,000,000 .. 5,000,000",2076,0,101,0,0,0,0,English,"Animation & Modeling, Video Production",1286,"{'Animation & Modeling': 754, 'Free to Play': 523, 'Video Production': 522, 'Software': 434, 'Movie': 325, 'Difficult': 227, 'Sandbox': 222, 'Funny': 181, 'Comedy': 144, 'Singleplayer': 134, 'Moddable': 127, 'Character Customization': 116, 'Memes': 99, 'Survival Horror': 80, 'Games Workshop': 60, '3D': 52, 'Anime': 47, 'Great Soundtrack': 38, 'Souls-like': 24, 'Family Friendly': 20}"
2100,Dark Messiah of Might & Magic,Arkane Studios,Ubisoft,,9244,897,0,"1,000,000 .. 2,000,000",354,0,320,0,999,999,0,"English, French, German, Italian, Spanish - Spain","Action, RPG",55,"{'RPG': 516, 'First-Person': 458, 'Action': 410, 'Fantasy': 365, 'Swordplay': 249, 'Dark Fantasy': 249, 'Adventure': 238, 'Magic': 227, 'Classic': 184, 'Singleplayer': 159, 'Stealth': 143, 'Multiple Endings': 142, 'Medieval': 119, 'Action RPG': 118, 'Story Rich': 113, 'Atmospheric': 108, 'Gore': 95, 'Hack and Slash': 94, 'Immersive Sim': 92, 'Multiplayer': 69}"
2280,DOOM + DOOM II,"id Software, Nightdive Studios",Bethesda,,21167,787,0,"1,000,000 .. 2,000,000",443,0,373,0,999,999,0,"English, French, Italian, German, Spanish - Spain",Action,443,"{'FPS': 537, 'Classic': 522, ""1990's"": 331, 'Action': 328, 'Great Soundtrack': 295, 'Retro': 292, 'Old School': 258, 'Demons': 246, 'Shooter': 241, 'Gore': 223, 'First-Person': 222, 'Singleplayer': 219, 'Moddable': 214, 'Boomer Shooter': 188, 'Fast-Paced': 182, 'Sci-fi': 176, 'Violent': 171, 'Multiplayer': 141, '2.5D': 140, 'Difficult': 118}"
2310,Quake,"id Software, Nightdive Studios, MachineGames",Bethesda Softworks,,13344,469,0,"2,000,000 .. 5,000,000",292,0,34,0,999,999,0,"English, French, Italian, German, Spanish - Spain, Russian",Action,101,"{'FPS': 446, 'Classic': 388, 'Action': 267, 'Shooter': 245, ""1990's"": 195, 'Multiplayer': 188, 'Singleplayer': 188, 'First-Person': 165, 'Gore': 162, 'Old School': 161, 'Retro': 142, 'Great Soundtrack': 132, 'Horror': 131, 'Fast-Paced': 125, 'Atmospheric': 116, 'Moddable': 114, 'Sci-fi': 108, 'Boomer Shooter': 106, 'Arena Shooter': 68, 'Co-op': 64}"
2400,The Ship: Murder Party,Outerlight Ltd.,Blazing Griffin,,5094,843,0,"1,000,000 .. 2,000,000",242,0,227,0,999,999,0,"English, French, German, Italian, Spanish - Spain, Polish, Russian, Japanese","Action, Indie, RPG",2,"{'Multiplayer': 383, 'Indie': 174, 'First-Person': 155, 'Action': 150, 'Stealth': 140, 'Mystery': 120, 'RPG': 120, 'Assassin': 109, 'Funny': 81, 'Survival': 62, 'FPS': 54, 'Simulation': 53, 'Singleplayer': 52, 'Comedy': 51, 'Shooter': 44, 'Adventure': 41, 'Strategy': 41, 'Difficult': 31, 'Stylized': 28, 'Replay Value': 28}"
2630,Call of Duty 2,Infinity Ward,Activision,,9235,643,0,"5,000,000 .. 10,000,000",2537,0,608,0,1999,1999,0,"English, French, German, Italian, Spanish - Spain",Action,253,"{'World War II': 228, 'Action': 226, 'FPS': 221, 'Multiplayer': 194, 'Singleplayer': 188, 'Shooter': 149, 'War': 142, 'Classic': 133, 'First-Person': 115, 'Historical': 98, 'Military': 70, 'Atmospheric': 61, 'Story Rich': 31, 'Controller': 26, 'Co-op': 20, 'Adventure': 19, 'Online Co-Op': 12, 'Casual': 12, 'Simulation': 9, 'Zombies': 8}"
3590,Plants vs. Zombies GOTY Edition,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",,129038,3220,0,"2,000,000 .. 5,000,000",1740,26,510,51,499,499,0,English,Strategy,2881,"{'Tower Defense': 1361, 'Zombies': 1217, 'Strategy': 954, 'Singleplayer': 829, 'Casual': 710, 'Classic': 478, '2D': 475, 'Comedy': 472, 'Great Soundtrack': 471, 'Family Friendly': 406, 'Funny': 371, 'Addictive': 318, 'Puzzle': 317, 'Cute': 296, 'Survival': 283, 'Indie': 262, 'Tactical': 231, 'Adventure': 146, 'Touch-Friendly': 136, 'Post-apocalyptic': 108}"
3830,Psychonauts,Double Fine Productions,Double Fine Productions,,16232,826,0,"2,000,000 .. 5,000,000",596,0,678,0,999,999,0,"English, French, German",Action,60,"{'Platformer': 680, 'Comedy': 597, 'Adventure': 518, 'Cult Classic': 491, 'Singleplayer': 447, 'Action': 394, 'Funny': 360, 'Third Person': 319, '3D Platformer': 310, 'Classic': 271, 'Story Rich': 216, 'Psychological': 196, 'Great Soundtrack': 154, 'Surreal': 121, 'Cartoony': 113, 'Collectathon': 108, 'Exploration': 98, 'Action-Adventure': 72, '3D': 61, '3D Vision': 28}"
3900,Sid Meier's Civilization IV,Firaxis Games,2K,,2958,229,0,"1,000,000 .. 2,000,000",282,0,166,0,1999,1999,0,"English, French, German, Italian, Spanish - Spain",Strategy,601,"{'Strategy': 298, 'Turn-Based Strategy': 210, 'Turn-Based': 178, '4X': 150, 'Historical': 129, 'Multiplayer': 106, 'Singleplayer': 91, 'Moddable': 69, 'Grand Strategy': 62, 'Classic': 56, 'Addictive': 47, 'Replay Value': 41, 'Simulation': 40, 'Resource Management': 40, 'Great Soundtrack': 32, 'War': 31, 'Economy': 28, 'Tactical': 28, 'Management': 22, 'Local Multiplayer': 6}"
3910,Sid Meier's Civilization III Complete,Firaxis Games,2K,,6118,715,0,"1,000,000 .. 2,000,000",490,0,602,0,499,499,0,English,Strategy,1760,"{'Strategy': 310, 'Turn-Based Strategy': 215, 'Turn-Based': 137, 'Classic': 134, '4X': 119, 'Historical': 117, 'Singleplayer': 92, 'Multiplayer': 74, 'Replay Value': 70, 'Simulation': 58, 'Grand Strategy': 57, 'Military': 56, 'Exploration': 52, 'Addictive': 43, 'City Builder': 31, 'Old School': 22, 'War': 16, 'Isometric': 11, 'Diplomacy': 11, 'Alternate History': 10}"
